track_name,artist_name,total_minutes,play_count,skips,completions,first_play,last_play,skip_rate
Tu Chodiyon Na,Ronit Vinta,3.8691166666666663,3,2,1,2025-01-24,2025-02-27,66.67
Na Milay,HAVI,3.81005,1,1,0,2025-04-08,2025-04-08,100.0
Pi Jaun,Farhan Saeed,3.8064666666666667,1,1,0,2025-11-09,2025-11-09,100.0
Sukoon,Hassan & Roshaan,3.7296666666666667,1,1,0,2025-04-06,2025-04-06,100.0
Emptiness and Aitebar - Live,Abdullah Qureshi,3.72705,1,1,0,2025-04-01,2025-04-01,100.0
Ove Janiya,Kumaar,3.7236833333333332,2,1,1,2025-02-10,2025-02-25,50.0
O Maahi,Pritam,3.7103333333333333,1,1,0,2025-05-26,2025-05-26,100.0
Lover,Taylor Swift,3.6884333333333332,1,0,1,2025-06-24,2025-06-24,0.0
Glimpse of Us,Joji,3.67205,1,1,0,2025-11-04,2025-11-04,100.0
Tere Bin Nahi Laage (Male Version),Uzair Jaswal,3.660883333333333,2,2,0,2025-03-31,2025-05-27,100.0
Nahin Milta,Bayaan,3.6175666666666664,2,2,0,2025-09-09,2025-10-27,100.0
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,3.601183333333333,2,2,0,2025-08-14,2025-09-15,100.0
Riha,Anuv Jain,3.58005,1,1,0,2025-04-05,2025-04-05,100.0
willow,Taylor Swift,3.5784333333333334,1,0,1,2025-06-24,2025-06-24,0.0
Toh Phir Aao,Mustafa Zahid,3.5743333333333336,3,3,0,2025-01-29,2025-02-27,100.0
Ranjhna,In the Box,3.5650166666666667,3,2,1,2025-01-30,2025-02-27,66.67
Pehla Nasha,Udit Narayan,3.52165,1,1,0,2025-11-04,2025-11-04,100.0
Dua for Studying,Quran,3.520033333333333,1,0,1,2025-07-12,2025-07-12,0.0
Kyun,Talha Anjum,3.4930000000000003,3,2,1,2025-02-07,2025-03-21,66.67
Daylight,Taylor Swift,3.485666666666667,2,0,2,2025-09-11,2025-11-16,0.0
Dooron Dooron,Paresh Pahuja,3.4707166666666667,2,1,1,2025-09-08,2025-09-08,50.0
"BIBA SADA - From ""Abdullahpur Ka Devdas""",Sami Khan,3.4222333333333332,4,4,0,2025-01-12,2025-09-10,100.0
